,_focal_resource_label,sg_dependence,resource_quality_change,resource_quantity_change,management,compliance,ParentGlobalID,management_other,focal_resource,id,date,ccp,seagrass_quality_change,sg_quality_change_note,seagrass_quantity_change,sg_quantity_change_note,causes_seagrass_change,sg_causes_coded,focal_resources,sg_dependence_note,resource_quality_change_note,resource_quantity_change_note,management_note,compliance_note,resource_change_note,resource_change_note.1,note,review_flag
22,mihili (1),none,sig_worse,sig_less,gear_closure,75_100,4ea76d43-3ff2-4b74-afb7-795019a4b197,,01,02022023MARA01,5/20/2023 10:00:00 AM,marrambone,sig_worse,"Agora devido as artes que se introduzem na baia acabaram devastando as ervas. Na altura as ervas cresciam e tomavam um atmanho amior e tambem eram saudaveis, com o tempo, as ervas perderam a sua qualidade. As redes de arrasto sao o maior factor da reducao das ervas.",sig_less,As ervas diminuiram mas ve_se melhoria porque adoptou_se o sistema de plantio das ervas.,"O que fez com que  houvesse a mudanca foi a introducao das redes de arrasto, mas, esta  a v er_ se uma melhoria nos ultimos dias devido a gestao dos recursos marinhos onde, contribuem para a reposicao natural das ervas.",human_disturbance,"01,02,03,06,50,56,74,78","Desses recursos, muitos ou na sua maioria nao dependem das ervas mas, sim, da area e do matope.","Na altura, em cada especie precitada acima na pergunta 3, era de boa qualiadade, no que tange ao seu tamanho.","Ha diferenca na maioria dessas especies porque na altura capturava_se em altas quantidades, o que hoje em dia nao acontece.","O camarao da nossa comunidade nao cresce a tamanho de se geriri devido o ecossistema. Nao ha veda para camarao, makolo, e dzitogoma. Durante a epoca de veda, ainda pode pescar_se com linha, gynia e apanha.",,"Ha dois factores que contribuem nessas mudancas: chuvas, pois, hoje em dia chove menos, e tambem a introducao de varias artes o que automaticamente atrai varias pessoas a praticar a actividade pesqueira. No entanto, a qualidade e a quantidade reduzem.","human_disturbance,climate_change","

                                                                                                                                                                                                                  JR",0.0
23,mavionho  (2),none,sig_worse,sig_less,gear_closure,75_100,4ea76d43-3ff2-4b74-afb7-795019a4b197,,02,02022023MARA01,5/20/2023 10:00:00 AM,marrambone,sig_worse,"Agora devido as artes que se introduzem na baia acabaram devastando as ervas. Na altura as ervas cresciam e tomavam um atmanho amior e tambem eram saudaveis, com o tempo, as ervas perderam a sua qualidade. As redes de arrasto sao o maior factor da reducao das ervas.",sig_less,As ervas diminuiram mas ve_se melhoria porque adoptou_se o sistema de plantio das ervas.,"O que fez com que  houvesse a mudanca foi a introducao das redes de arrasto, mas, esta  a v er_ se uma melhoria nos ultimos dias devido a gestao dos recursos marinhos onde, contribuem para a reposicao natural das ervas.",human_disturbance,"01,02,03,06,50,56,74,78","Desses recursos, muitos ou na sua maioria nao dependem das ervas mas, sim, da area e do matope.","Na altura, em cada especie precitada acima na pergunta 3, era de boa qualiadade, no que tange ao seu tamanho.","Ha diferenca na maioria dessas especies porque na altura capturava_se em altas quantidades, o que hoje em dia nao acontece.","O camarao da nossa comunidade nao cresce a tamanho de se geriri devido o ecossistema. Nao ha veda para camarao, makolo, e dzitogoma. Durante a epoca de veda, ainda pode pescar_se com linha, gynia e apanha.",,"Ha dois factores que contribuem nessas mudancas: chuvas, pois, hoje em dia chove menos, e tambem a introducao de varias artes o que automaticamente atrai varias pessoas a praticar a actividade pesqueira. No entanto, a qualidade e a quantidade reduzem.","human_disturbance,climate_change","

                                                                                                                                                                                                                  JR",0.0
24,salani (3),none,sig_worse,sig_less,gear_closure,75_100,4ea76d43-3ff2-4b74-afb7-795019a4b197,,03,02022023MARA01,5/20/2023 10:00:00 AM,marrambone,sig_worse,"Agora devido as artes que se introduzem na baia acabaram devastando as ervas. Na altura as ervas cresciam e tomavam um atmanho amior e tambem eram saudaveis, com o tempo, as ervas perderam a sua qualidade. As redes de arrasto sao o maior factor da reducao das ervas.",sig_less,As ervas diminuiram mas ve_se melhoria porque adoptou_se o sistema de plantio das ervas.,"O que fez com que  houvesse a mudanca foi a introducao das redes de arrasto, mas, esta  a v er_ se uma melhoria nos ultimos dias devido a gestao dos recursos marinhos onde, contribuem para a reposicao natural das ervas.",human_disturbance,"01,02,03,06,50,56,74,78","Desses recursos, muitos ou na sua maioria nao dependem das ervas mas, sim, da area e do matope.","Na altura, em cada especie precitada acima na pergunta 3, era de boa qualiadade, no que tange ao seu tamanho.","Ha diferenca na maioria dessas especies porque na altura capturava_se em altas quantidades, o que hoje em dia nao acontece.","O camarao da nossa comunidade nao cresce a tamanho de se geriri devido o ecossistema. Nao ha veda para camarao, makolo, e dzitogoma. Durante a epoca de veda, ainda pode pescar_se com linha, gynia e apanha.",,"Ha dois factores que contribuem nessas mudancas: chuvas, pois, hoje em dia chove menos, e tambem a introducao de varias artes o que automaticamente atrai varias pessoas a praticar a actividade pesqueira. No entanto, a qualidade e a quantidade reduzem.","human_disturbance,climate_change","

                                                                                                                                                                                                                  JR",0.0
25,sigulula  (6),high,sig_worse,sig_less,gear_closure,75_100,4ea76d43-3ff2-4b74-afb7-795019a4b197,,06,02022023MARA01,5/20/2023 10:00:00 AM,marrambone,sig_worse,"Agora devido as artes que se introduzem na baia acabaram devastando as ervas. Na altura as ervas cresciam e tomavam um atmanho amior e tambem eram saudaveis, com o tempo, as ervas perderam a sua qualidade. As redes de arrasto sao o maior factor da reducao das ervas.",sig_less,As ervas diminuiram mas ve_se melhoria porque adoptou_se o sistema de plantio das ervas.,"O que fez com que  houvesse a mudanca foi a introducao das redes de arrasto, mas, esta  a v er_ se uma melhoria nos ultimos dias devido a gestao dos recursos marinhos onde, contribuem para a reposicao natural das ervas.",human_disturbance,"01,02,03,06,50,56,74,78","Desses recursos, muitos ou na sua maioria nao dependem das ervas mas, sim, da area e do matope.","Na altura, em cada especie precitada acima na pergunta 3, era de boa qualiadade, no que tange ao seu tamanho.","Ha diferenca na maioria dessas especies porque na altura capturava_se em altas quantidades, o que hoje em dia nao acontece.","O camarao da nossa comunidade nao cresce a tamanho de se geriri devido o ecossistema. Nao ha veda para camarao, makolo, e dzitogoma. Durante a epoca de veda, ainda pode pescar_se com linha, gynia e apanha.",,"Ha dois factores que contribuem nessas mudancas: chuvas, pois, hoje em dia chove menos, e tambem a introducao de varias artes o que automaticamente atrai varias pessoas a praticar a actividade pesqueira. No entanto, a qualidade e a quantidade reduzem.","human_disturbance,climate_change","

                                                                                                                                                                                                                  JR",0.0
26,dzindrolo (50),high,worse,sig_less,gear_closure,75_100,4ea76d43-3ff2-4b74-afb7-795019a4b197,,50,02022023MARA01,5/20/2023 10:00:00 AM,marrambone,sig_worse,"Agora devido as artes que se introduzem na baia acabaram devastando as ervas. Na altura as ervas cresciam e tomavam um atmanho amior e tambem eram saudaveis, com o tempo, as ervas perderam a sua qualidade. As redes de arrasto sao o maior factor da reducao das ervas.",sig_less,As ervas diminuiram mas ve_se melhoria porque adoptou_se o sistema de plantio das ervas.,"O que fez com que  houvesse a mudanca foi a introducao das redes de arrasto, mas, esta  a v er_ se uma melhoria nos ultimos dias devido a gestao dos recursos marinhos onde, contribuem para a reposicao natural das ervas.",human_disturbance,"01,02,03,06,50,56,74,78","Desses recursos, muitos ou na sua maioria nao dependem das ervas mas, sim, da area e do matope.","Na altura, em cada especie precitada acima na pergunta 3, era de boa qualiadade, no que tange ao seu tamanho.","Ha diferenca na maioria dessas especies porque na altura capturava_se em altas quantidades, o que hoje em dia nao acontece.","O camarao da nossa comunidade nao cresce a tamanho de se geriri devido o ecossistema. Nao ha veda para camarao, makolo, e dzitogoma. Durante a epoca de veda, ainda pode pescar_se com linha, gynia e apanha.",,"Ha dois factores que contribuem nessas mudancas: chuvas, pois, hoje em dia chove menos, e tambem a introducao de varias artes o que automaticamente atrai varias pessoas a praticar a actividade pesqueira. No entanto, a qualidade e a quantidade reduzem.","human_disturbance,climate_change","

                                                                                                                                                                                                                  JR",0.0
27,mavandzi (56),none,sig_worse,sig_less,none,,4ea76d43-3ff2-4b74-afb7-795019a4b197,,56,02022023MARA01,5/20/2023 10:00:00 AM,marrambone,sig_worse,"Agora devido as artes que se introduzem na baia acabaram devastando as ervas. Na altura as ervas cresciam e tomavam um atmanho amior e tambem eram saudaveis, com o tempo, as ervas perderam a sua qualidade. As redes de arrasto sao o maior factor da reducao das ervas.",sig_less,As ervas diminuiram mas ve_se melhoria porque adoptou_se o sistema de plantio das ervas.,"O que fez com que  houvesse a mudanca foi a introducao das redes de arrasto, mas, esta  a v er_ se uma melhoria nos ultimos dias devido a gestao dos recursos marinhos onde, contribuem para a reposicao natural das ervas.",human_disturbance,"01,02,03,06,50,56,74,78","Desses recursos, muitos ou na sua maioria nao dependem das ervas mas, sim, da area e do matope.","Na altura, em cada especie precitada acima na pergunta 3, era de boa qualiadade, no que tange ao seu tamanho.","Ha diferenca na maioria dessas especies porque na altura capturava_se em altas quantidades, o que hoje em dia nao acontece.","O camarao da nossa comunidade nao cresce a tamanho de se geriri devido o ecossistema. Nao ha veda para camarao, makolo, e dzitogoma. Durante a epoca de veda, ainda pode pescar_se com linha, gynia e apanha.",,"Ha dois factores que contribuem nessas mudancas: chuvas, pois, hoje em dia chove menos, e tambem a introducao de varias artes o que automaticamente atrai varias pessoas a praticar a actividade pesqueira. No entanto, a qualidade e a quantidade reduzem.","human_disturbance,climate_change","

                                                                                                                                                                                                                  JR",0.0
28,makolo (74),none,no_change,no_change,none,,4ea76d43-3ff2-4b74-afb7-795019a4b197,,74,02022023MARA01,5/20/2023 10:00:00 AM,marrambone,sig_worse,"Agora devido as artes que se introduzem na baia acabaram devastando as ervas. Na altura as ervas cresciam e tomavam um atmanho amior e tambem eram saudaveis, com o tempo, as ervas perderam a sua qualidade. As redes de arrasto sao o maior factor da reducao das ervas.",sig_less,As ervas diminuiram mas ve_se melhoria porque adoptou_se o sistema de plantio das ervas.,"O que fez com que  houvesse a mudanca foi a introducao das redes de arrasto, mas, esta  a v er_ se uma melhoria nos ultimos dias devido a gestao dos recursos marinhos onde, contribuem para a reposicao natural das ervas.",human_disturbance,"01,02,03,06,50,56,74,78","Desses recursos, muitos ou na sua maioria nao dependem das ervas mas, sim, da area e do matope.","Na altura, em cada especie precitada acima na pergunta 3, era de boa qualiadade, no que tange ao seu tamanho.","Ha diferenca na maioria dessas especies porque na altura capturava_se em altas quantidades, o que hoje em dia nao acontece.","O camarao da nossa comunidade nao cresce a tamanho de se geriri devido o ecossistema. Nao ha veda para camarao, makolo, e dzitogoma. Durante a epoca de veda, ainda pode pescar_se com linha, gynia e apanha.",,"Ha dois factores que contribuem nessas mudancas: chuvas, pois, hoje em dia chove menos, e tambem a introducao de varias artes o que automaticamente atrai varias pessoas a praticar a actividade pesqueira. No entanto, a qualidade e a quantidade reduzem.","human_disturbance,climate_change","

                                                                                                                                                                                                                  JR",0.0
29,togoma (78),none,no_change,no_change,none,,4ea76d43-3ff2-4b74-afb7-795019a4b197,,78,02022023MARA01,5/20/2023 10:00:00 AM,marrambone,sig_worse,"Agora devido as artes que se introduzem na baia acabaram devastando as ervas. Na altura as ervas cresciam e tomavam um atmanho amior e tambem eram saudaveis, com o tempo, as ervas perderam a sua qualidade. As redes de arrasto sao o maior factor da reducao das ervas.",sig_less,As ervas diminuiram mas ve_se melhoria porque adoptou_se o sistema de plantio das ervas.,"O que fez com que  houvesse a mudanca foi a introducao das redes de arrasto, mas, esta  a v er_ se uma melhoria nos ultimos dias devido a gestao dos recursos marinhos onde, contribuem para a reposicao natural das ervas.",human_disturbance,"01,02,03,06,50,56,74,78","Desses recursos, muitos ou na sua maioria nao dependem das ervas mas, sim, da area e do matope.","Na altura, em cada especie precitada acima na pergunta 3, era de boa qualiadade, no que tange ao seu tamanho.","Ha diferenca na maioria dessas especies porque na altura capturava_se em altas quantidades, o que hoje em dia nao acontece.","O camarao da nossa comunidade nao cresce a tamanho de se geriri devido o ecossistema. Nao ha veda para camarao, makolo, e dzitogoma. Durante a epoca de veda, ainda pode pescar_se com linha, gynia e apanha.",,"Ha dois factores que contribuem nessas mudancas: chuvas, pois, hoje em dia chove menos, e tambem a introducao de varias artes o que automaticamente atrai varias pessoas a praticar a actividade pesqueira. No entanto, a qualidade e a quantidade reduzem.","human_disturbance,climate_change","

                                                                                                                                                                                                                  JR",0.0
30,mihili (1),none,sig_worse,sig_less,gear_closure,75_100,d298ff03-a3ac-4257-90e0-a10890bf0494,,01,31012023MUCA01,5/20/2023 10:00:00 AM,mucucune,no_change,"A partir da decada 70 a 80, havia muita erva marinha mas, passado um tempo as coisas mudaram devido as artes recentemente usadas, em 2016 ate aos dias de hoje, esta a ver_se restauracao das ervas e tambem o grupo de plantio das ervas tem ajudado na sua melhoria.",less,"Haviamos perdido as ervas, a pertir do ano 2016 ate aos dias de hoje, nota_ a recuperacao das ervas.","ON que causpou esta mudanca foi a introducao de muitas artes , o que fez com que as ervas fossem arrastadas. ",human_disturbance,"01,02,03,06,50,56,63,78","Algumas especies dependem muito, outras pouco e ainda outros nao dxependem nada das ervas mas, para deixar ficar que as especies do numero 63, 78 e 1, estas dependem muito do matope e conxas de outras especies.",,,"A gestao e ce veda das artes sem excepcao dos recursos, isto e, se ha veda e mesmo para todas as especies inclusive o numero 63, NHAMUNHE, onde a gestao e de tamanho pelo que, os apanhadores faze, a colheta temporaria.","A maior parte da comunidade aceita estas medidas de gestao, so alguns nao aceitam mas, a fiscalizacao rigorosa tambem contribui para reduzir a quantidade dos renitentes. ","O uso da pesca, das artes e da forma de pescar , sao os factores que levam a essas mudancas. A intensao dos pescadores, na altura, muitos pescavam para consumo e troca mas, ultmamente e mesmo para comercio. As redes nossivas tambem contribuem na mudanca destas especies. ",human_disturbance,"

                                                                                                                                                                                                                                JR",0.0
31,mavionho  (2),high,no_change,no_change,gear_closure,75_100,d298ff03-a3ac-4257-90e0-a10890bf0494,,02,31012023MUCA01,5/20/2023 10:00:00 AM,mucucune,no_change,"A partir da decada 70 a 80, havia muita erva marinha mas, passado um tempo as coisas mudaram devido as artes recentemente usadas, em 2016 ate aos dias de hoje, esta a ver_se restauracao das ervas e tambem o grupo de plantio das ervas tem ajudado na sua melhoria.",less,"Haviamos perdido as ervas, a pertir do ano 2016 ate aos dias de hoje, nota_ a recuperacao das ervas.","ON que causpou esta mudanca foi a introducao de muitas artes , o que fez com que as ervas fossem arrastadas. ",human_disturbance,"01,02,03,06,50,56,63,78","Algumas especies dependem muito, outras pouco e ainda outros nao dxependem nada das ervas mas, para deixar ficar que as especies do numero 63, 78 e 1, estas dependem muito do matope e conxas de outras especies.",,,"A gestao e ce veda das artes sem excepcao dos recursos, isto e, se ha veda e mesmo para todas as especies inclusive o numero 63, NHAMUNHE, onde a gestao e de tamanho pelo que, os apanhadores faze, a colheta temporaria.","A maior parte da comunidade aceita estas medidas de gestao, so alguns nao aceitam mas, a fiscalizacao rigorosa tambem contribui para reduzir a quantidade dos renitentes. ","O uso da pesca, das artes e da forma de pescar , sao os factores que levam a essas mudancas. A intensao dos pescadores, na altura, muitos pescavam para consumo e troca mas, ultmamente e mesmo para comercio. As redes nossivas tambem contribuem na mudanca destas especies. ",human_disturbance,"

                                                                                                                                                                                                                                JR",0.0
32,salani (3),low,no_change,less,gear_closure,75_100,d298ff03-a3ac-4257-90e0-a10890bf0494,,03,31012023MUCA01,5/20/2023 10:00:00 AM,mucucune,no_change,"A partir da decada 70 a 80, havia muita erva marinha mas, passado um tempo as coisas mudaram devido as artes recentemente usadas, em 2016 ate aos dias de hoje, esta a ver_se restauracao das ervas e tambem o grupo de plantio das ervas tem ajudado na sua melhoria.",less,"Haviamos perdido as ervas, a pertir do ano 2016 ate aos dias de hoje, nota_ a recuperacao das ervas.","ON que causpou esta mudanca foi a introducao de muitas artes , o que fez com que as ervas fossem arrastadas. ",human_disturbance,"01,02,03,06,50,56,63,78","Algumas especies dependem muito, outras pouco e ainda outros nao dxependem nada das ervas mas, para deixar ficar que as especies do numero 63, 78 e 1, estas dependem muito do matope e conxas de outras especies.",,,"A gestao e ce veda das artes sem excepcao dos recursos, isto e, se ha veda e mesmo para todas as especies inclusive o numero 63, NHAMUNHE, onde a gestao e de tamanho pelo que, os apanhadores faze, a colheta temporaria.","A maior parte da comunidade aceita estas medidas de gestao, so alguns nao aceitam mas, a fiscalizacao rigorosa tambem contribui para reduzir a quantidade dos renitentes. ","O uso da pesca, das artes e da forma de pescar , sao os factores que levam a essas mudancas. A intensao dos pescadores, na altura, muitos pescavam para consumo e troca mas, ultmamente e mesmo para comercio. As redes nossivas tambem contribuem na mudanca destas especies. ",human_disturbance,"

                                                                                                                                                                                                                                JR",0.0
33,sigulula  (6),high,no_change,less,gear_closure,75_100,d298ff03-a3ac-4257-90e0-a10890bf0494,,06,31012023MUCA01,5/20/2023 10:00:00 AM,mucucune,no_change,"A partir da decada 70 a 80, havia muita erva marinha mas, passado um tempo as coisas mudaram devido as artes recentemente usadas, em 2016 ate aos dias de hoje, esta a ver_se restauracao das ervas e tambem o grupo de plantio das ervas tem ajudado na sua melhoria.",less,"Haviamos perdido as ervas, a pertir do ano 2016 ate aos dias de hoje, nota_ a recuperacao das ervas.","ON que causpou esta mudanca foi a introducao de muitas artes , o que fez com que as ervas fossem arrastadas. ",human_disturbance,"01,02,03,06,50,56,63,78","Algumas especies dependem muito, outras pouco e ainda outros nao dxependem nada das ervas mas, para deixar ficar que as especies do numero 63, 78 e 1, estas dependem muito do matope e conxas de outras especies.",,,"A gestao e ce veda das artes sem excepcao dos recursos, isto e, se ha veda e mesmo para todas as especies inclusive o numero 63, NHAMUNHE, onde a gestao e de tamanho pelo que, os apanhadores faze, a colheta temporaria.","A maior parte da comunidade aceita estas medidas de gestao, so alguns nao aceitam mas, a fiscalizacao rigorosa tambem contribui para reduzir a quantidade dos renitentes. ","O uso da pesca, das artes e da forma de pescar , sao os factores que levam a essas mudancas. A intensao dos pescadores, na altura, muitos pescavam para consumo e troca mas, ultmamente e mesmo para comercio. As redes nossivas tambem contribuem na mudanca destas especies. ",human_disturbance,"

                                                                                                                                                                                                                                JR",0.0
34,dzindrolo (50),mod,no_change,no_change,gear_closure,75_100,d298ff03-a3ac-4257-90e0-a10890bf0494,,50,31012023MUCA01,5/20/2023 10:00:00 AM,mucucune,no_change,"A partir da decada 70 a 80, havia muita erva marinha mas, passado um tempo as coisas mudaram devido as artes recentemente usadas, em 2016 ate aos dias de hoje, esta a ver_se restauracao das ervas e tambem o grupo de plantio das ervas tem ajudado na sua melhoria.",less,"Haviamos perdido as ervas, a pertir do ano 2016 ate aos dias de hoje, nota_ a recuperacao das ervas.","ON que causpou esta mudanca foi a introducao de muitas artes , o que fez com que as ervas fossem arrastadas. ",human_disturbance,"01,02,03,06,50,56,63,78","Algumas especies dependem muito, outras pouco e ainda outros nao dxependem nada das ervas mas, para deixar ficar que as especies do numero 63, 78 e 1, estas dependem muito do matope e conxas de outras especies.",,,"A gestao e ce veda das artes sem excepcao dos recursos, isto e, se ha veda e mesmo para todas as especies inclusive o numero 63, NHAMUNHE, onde a gestao e de tamanho pelo que, os apanhadores faze, a colheta temporaria.","A maior parte da comunidade aceita estas medidas de gestao, so alguns nao aceitam mas, a fiscalizacao rigorosa tambem contribui para reduzir a quantidade dos renitentes. ","O uso da pesca, das artes e da forma de pescar , sao os factores que levam a essas mudancas. A intensao dos pescadores, na altura, muitos pescavam para consumo e troca mas, ultmamente e mesmo para comercio. As redes nossivas tambem contribuem na mudanca destas especies. ",human_disturbance,"

                                                                                                                                                                                                                                JR",0.0
35,mavandzi (56),low,no_change,no_change,gear_closure,75_100,d298ff03-a3ac-4257-90e0-a10890bf0494,,56,31012023MUCA01,5/20/2023 10:00:00 AM,mucucune,no_change,"A partir da decada 70 a 80, havia muita erva marinha mas, passado um tempo as coisas mudaram devido as artes recentemente usadas, em 2016 ate aos dias de hoje, esta a ver_se restauracao das ervas e tambem o grupo de plantio das ervas tem ajudado na sua melhoria.",less,"Haviamos perdido as ervas, a pertir do ano 2016 ate aos dias de hoje, nota_ a recuperacao das ervas.","ON que causpou esta mudanca foi a introducao de muitas artes , o que fez com que as ervas fossem arrastadas. ",human_disturbance,"01,02,03,06,50,56,63,78","Algumas especies dependem muito, outras pouco e ainda outros nao dxependem nada das ervas mas, para deixar ficar que as especies do numero 63, 78 e 1, estas dependem muito do matope e conxas de outras especies.",,,"A gestao e ce veda das artes sem excepcao dos recursos, isto e, se ha veda e mesmo para todas as especies inclusive o numero 63, NHAMUNHE, onde a gestao e de tamanho pelo que, os apanhadores faze, a colheta temporaria.","A maior parte da comunidade aceita estas medidas de gestao, so alguns nao aceitam mas, a fiscalizacao rigorosa tambem contribui para reduzir a quantidade dos renitentes. ","O uso da pesca, das artes e da forma de pescar , sao os factores que levam a essas mudancas. A intensao dos pescadores, na altura, muitos pescavam para consumo e troca mas, ultmamente e mesmo para comercio. As redes nossivas tambem contribuem na mudanca destas especies. ",human_disturbance,"

                                                                                                                                                                                                                                JR",0.0
36,nhamunhe (63),none,no_change,sig_less,seasonal_harvest,75_100,d298ff03-a3ac-4257-90e0-a10890bf0494,,63,31012023MUCA01,5/20/2023 10:00:00 AM,mucucune,no_change,"A partir da decada 70 a 80, havia muita erva marinha mas, passado um tempo as coisas mudaram devido as artes recentemente usadas, em 2016 ate aos dias de hoje, esta a ver_se restauracao das ervas e tambem o grupo de plantio das ervas tem ajudado na sua melhoria.",less,"Haviamos perdido as ervas, a pertir do ano 2016 ate aos dias de hoje, nota_ a recuperacao das ervas.","ON que causpou esta mudanca foi a introducao de muitas artes , o que fez com que as ervas fossem arrastadas. ",human_disturbance,"01,02,03,06,50,56,63,78","Algumas especies dependem muito, outras pouco e ainda outros nao dxependem nada das ervas mas, para deixar ficar que as especies do numero 63, 78 e 1, estas dependem muito do matope e conxas de outras especies.",,,"A gestao e ce veda das artes sem excepcao dos recursos, isto e, se ha veda e mesmo para todas as especies inclusive o numero 63, NHAMUNHE, onde a gestao e de tamanho pelo que, os apanhadores faze, a colheta temporaria.","A maior parte da comunidade aceita estas medidas de gestao, so alguns nao aceitam mas, a fiscalizacao rigorosa tambem contribui para reduzir a quantidade dos renitentes. ","O uso da pesca, das artes e da forma de pescar , sao os factores que levam a essas mudancas. A intensao dos pescadores, na altura, muitos pescavam para consumo e troca mas, ultmamente e mesmo para comercio. As redes nossivas tambem contribuem na mudanca destas especies. ",human_disturbance,"

                                                                                                                                                                                                                                JR",0.0
37,togoma (78),none,no_change,sig_less,none,,d298ff03-a3ac-4257-90e0-a10890bf0494,,78,31012023MUCA01,5/20/2023 10:00:00 AM,mucucune,no_change,"A partir da decada 70 a 80, havia muita erva marinha mas, passado um tempo as coisas mudaram devido as artes recentemente usadas, em 2016 ate aos dias de hoje, esta a ver_se restauracao das ervas e tambem o grupo de plantio das ervas tem ajudado na sua melhoria.",less,"Haviamos perdido as ervas, a pertir do ano 2016 ate aos dias de hoje, nota_ a recuperacao das ervas.","ON que causpou esta mudanca foi a introducao de muitas artes , o que fez com que as ervas fossem arrastadas. ",human_disturbance,"01,02,03,06,50,56,63,78","Algumas especies dependem muito, outras pouco e ainda outros nao dxependem nada das ervas mas, para deixar ficar que as especies do numero 63, 78 e 1, estas dependem muito do matope e conxas de outras especies.",,,"A gestao e ce veda das artes sem excepcao dos recursos, isto e, se ha veda e mesmo para todas as especies inclusive o numero 63, NHAMUNHE, onde a gestao e de tamanho pelo que, os apanhadores faze, a colheta temporaria.","A maior parte da comunidade aceita estas medidas de gestao, so alguns nao aceitam mas, a fiscalizacao rigorosa tambem contribui para reduzir a quantidade dos renitentes. ","O uso da pesca, das artes e da forma de pescar , sao os factores que levam a essas mudancas. A intensao dos pescadores, na altura, muitos pescavam para consumo e troca mas, ultmamente e mesmo para comercio. As redes nossivas tambem contribuem na mudanca destas especies. ",human_disturbance,"

                                                                                                                                                                                                                                JR",0.0
38,mavionho  (2),none,sig_worse,sig_less,gear_closure,75_100,e7664a71-64d4-4f13-ad4b-61b1ba63b82d,,02,03282023NHMUA01,3/28/2023 10:00:00 AM,nhamua,sig_worse,"Houve se mudanca porque antes so pescaram em canais. Agora pesca fora onda havia ervas grandes. Os redes de arrasto so deixa area e pequenas ervas que peixes no podem usar para dormir nem para comer. Nao chega crecer. Agora temos perdidos peixes como sikokoroma, ngabugue, likologolo",sig_less,"Houve se grande persa das ervas marinhas. Agora nao ha ervas. Havia perdas na zon de Guiwindritunu, Guitete, Nhambavale, e Nhambudzi, Estas lugares agora so tem area e poucos peixes. Em Guiwindritunu ""eram lugar propisio porque tinham muitas ervas. Antigamente pescam peice que cada pesa 5 ou 6 kilos. Por quanto de arrastos estes peixes nao existem.""",Antigamenete redes nao tinham ferros que arrastam ervas. Acabam matando estas ervas. Antigamente so pescaa na canal. Agora pescam fora de canal onde havia ervas grandes. Dia e noite estao a pescar com rede de arrasto.,human_disturbance,"02,07,50,56,60,61","mihili (1): area, sem ervas; mavbionho (2): canal, sem ervas; salani (3): mahata um pouco; carapau (7): mahata, dzindrolo (5): erva; camarao (56): mahata; matewo (60): nao depende solemente das ervas, pode crecer na area; mavalo (61): depnde das ervas para fixar, quando area entra eles morrem, depende das chouve e ventania","mavbionho (2): antes nao tinha mercado porque havua muito, fervia e deixava secar. Agora nao crece; salani (3): havia grande (tamanh do brazo); camarao (56) antigamente crecia ate pasara, agora nao crecem sig.; mavalo (61): creciam porque cosumiam ervas, agora nao ",Carapau (7) nao tinha mercado porque pescavam em grandes quantidades; Carangejo (50) nao tinha negocio porque havia tanto. Deram aos porcos; camarao (56) 2 ou 2 e meio latas. Antigamente nao havia mercado practicamente nao vendia fresca.,"Antigamente havia leis de preservacao que funcionavam porque pessoas acceitaram. Gamboas, kogas, matumbos sao vedadas mesmo ginia, mergulho. A veda acontece juno, julho, e augosto",Pescadores da outra communidade (Chiquque) entram e violar,"Redes mosquiteros e redes nocivas capturam peixes finos e crias. Ha reducao na productividade de peixe. Antigamente minimo foi 3 pulgadas no parte ""saco"" do rede de arrasto mas agora e muito fino. O crescemento de populacao afecta 56,61,60",human_disturbance,,
